Budget,DateKey,Date
20020,20190129,2019-01-29 00:00:00
20200,20190129,2019-01-29 00:00:00
2000,20190129,2019-01-29 00:00:00
2402,20190129,2019-01-29 00:00:00
2002,20190129,2019-01-29 00:00:00
1800,20190129,2019-01-29 00:00:00
380,20190129,2019-01-29 00:00:00
490,20190129,2019-01-29 00:00:00
445,20190129,2019-01-29 00:00:00
380,20190129,2019-01-29 00:00:00
200,20190129,2019-01-29 00:00:00
220,20190129,2019-01-29 00:00:00
165,20190129,2019-01-29 00:00:00
100,20190129,2019-01-29 00:00:00
49,20190129,2019-01-29 00:00:00
50,20190129,2019-01-29 00:00:00
70,20190129,2019-01-29 00:00:00
300,20190129,2019-01-29 00:00:00
286,20190129,2019-01-29 00:00:00
144,20190129,2019-01-29 00:00:00
100,20190129,2019-01-29 00:00:00
280,20190129,2019-01-29 00:00:00
303,20190129,2019-01-29 00:00:00
545,20190129,2019-01-29 00:00:00
480,20190129,2019-01-29 00:00:00
200,20190129,2019-01-29 00:00:00
152,20190129,2019-01-29 00:00:00
624,20190129,2019-01-29 00:00:00
550,20190129,2019-01-29 00:00:00
380,20190129,2019-01-29 00:00:00
386,20190129,2019-01-29 00:00:00
41,20190129,2019-01-29 00:00:00
40,20190129,2019-01-29 00:00:00
100,20190129,2019-01-29 00:00:00
142,20190129,2019-01-29 00:00:00
129,20190129,2019-01-29 00:00:00
100,20190129,2019-01-29 00:00:00
100,20190129,2019-01-29 00:00:00
113,20190129,2019-01-29 00:00:00
495,20190129,2019-01-29 00:00:00
480,20190129,2019-01-29 00:00:00
251,20190129,2019-01-29 00:00:00
386,20190129,2019-01-29 00:00:00
-309,20190129,2019-01-29 00:00:00
514,20190129,2019-01-29 00:00:00
228,20190129,2019-01-29 00:00:00
11,20190129,2019-01-29 00:00:00
43068,20190129,2019-01-29 00:00:00
6525,20190129,2019-01-29 00:00:00
5600,20190129,2019-01-29 00:00:00
8400,20190129,2019-01-29 00:00:00
5220,20190129,2019-01-29 00:00:00
56580,20190129,2019-01-29 00:00:00
67900,20190129,2019-01-29 00:00:00
15040,20190129,2019-01-29 00:00:00
14300,20190129,2019-01-29 00:00:00
1600,20190129,2019-01-29 00:00:00
1805,20190129,2019-01-29 00:00:00
